No.,Scan date,Scan time,Model,Production date,Shift,Line,Quantity
44,31-01-2026,23:16:00,Model36,31-01-2026,A/Night,34,203
45,22-02-2026,00:50:03,Model31,22-02-2026,A/Night,32,400
46,28-02-2026,14:25:14,Model43,28-02-2026,B/Day,30,652
47,25-03-2026,04:14:44,Model16,25-03-2026,B/Night,20,281
48,18-02-2026,20:51:54,Model22,18-02-2026,B/Night,31,460
49,21-03-2026,22:14:54,Model19,21-03-2026,B/Night,40,387
50,08-03-2026,21:12:01,Model5,08-03-2026,B/Night,40,247
51,10-03-2026,23:26:21,Model28,10-03-2026,B/Night,30,346
52,02-02-2026,20:42:44,Model4,02-02-2026,B/Night,30,405
53,15-03-2026,00:45:53,Model19,15-03-2026,B/Night,34,345
54,22-02-2026,02:14:36,Model8,22-02-2026,B/Night,31,637
55,27-02-2026,00:49:26,Model43,27-02-2026,B/Night,30,469
56,01-04-2026,23:34:52,Model59,01-04-2026,B/Night,40,486
57,05-04-2026,22:18:41,Model54,05-04-2026,B/Night,32,629
58,22-03-2026,05:56:22,Model36,22-03-2026,B/Night,20,659
59,07-03-2026,21:33:16,Model31,07-03-2026,B/Night,30,210
60,23-03-2026,06:58:59,Model22,23-03-2026,B/Night,32,466
61,21-03-2026,05:25:51,Model12,21-03-2026,B/Night,32,273
62,03-02-2026,04:15:38,Model45,03-02-2026,B/Night,40,637
63,14-02-2026,20:04:52,Model27,14-02-2026,B/Night,20,298
64,18-03-2026,03:42:44,Model11,18-03-2026,B/Night,40,372
65,13-02-2026,04:33:14,Model42,13-02-2026,B/Night,30,423
66,13-03-2026,05:24:26,Model2,13-03-2026,B/Night,20,303
67,08-03-2026,07:07:49,Model49,08-03-2026,B/Night,31,499
68,16-03-2026,03:09:10,Model8,16-03-2026,B/Night,20,271
69,25-03-2026,19:45:16,Model53,25-03-2026,B/Night,32,503
70,20-03-2026,01:45:11,Model26,20-03-2026,B/Night,33,670
71,19-02-2026,19:48:51,Model50,19-02-2026,B/Night,32,366
72,19-04-2026,06:58:53,Model58,19-04-2026,B/Night,34,485
73,17-03-2026,20:23:00,Model58,17-03-2026,B/Night,20,248
74,12-04-2026,03:47:59,Model27,12-04-2026,B/Night,32,445
75,30-01-2026,22:35:39,Model38,30-01-2026,B/Night,34,549
76,11-02-2026,00:49:05,Model57,11-02-2026,B/Night,40,427
77,31-03-2026,20:30:19,Model27,31-03-2026,B/Night,20,471
78,06-04-2026,01:07:31,Model26,06-04-2026,B/Night,32,581
79,02-02-2026,02:37:17,Model43,02-02-2026,B/Night,30,288
80,22-02-2026,01:28:49,Model26,22-02-2026,B/Night,32,274
81,15-02-2026,23:43:57,Model54,15-02-2026,B/Night,20,459
82,25-03-2026,06:54:03,Model33,25-03-2026,B/Night,30,312
83,11-04-2026,00:00:14,Model33,11-04-2026,B/Night,33,495
84,31-01-2026,22:40:10,Model19,31-01-2026,B/Night,32,664
85,10-02-2026,06:17:32,Model26,10-02-2026,B/Night,33,677
86,22-02-2026,00:10:00,Model23,22-02-2026,B/Night,31,505
87,28-02-2026,19:37:15,Model34,28-02-2026,B/Night,20,520
88,20-02-2026,22:38:39,Model35,20-02-2026,B/Night,20,214
89,15-02-2026,20:30:56,Model19,15-02-2026,B/Night,32,432
90,04-03-2026,05:19:56,Model55,04-03-2026,B/Night,34,602
91,18-03-2026,03:34:07,Model47,18-03-2026,B/Night,33,346
92,09-03-2026,20:36:53,Model33,09-03-2026,B/Night,34,542
93,10-04-2026,00:18:58,Model39,10-04-2026,B/Night,34,655
94,11-02-2026,03:20:42,Model26,11-02-2026,B/Night,31,565
95,20-02-2026,06:24:53,Model49,20-02-2026,B/Night,20,522
96,07-02-2026,20:41:49,Model13,07-02-2026,B/Night,32,395
97,24-03-2026,03:13:37,Model20,24-03-2026,B/Night,40,230
98,20-02-2026,23:50:38,Model19,20-02-2026,B/Night,33,218
99,12-04-2026,04:56:43,Model58,12-04-2026,B/Night,33,595
100,09-02-2026,01:30:09,Model29,09-02-2026,B/Night,20,475
101,24-03-2026,00:27:32,Model44,24-03-2026,B/Night,32,337
102,02-03-2026,01:19:24,Model17,02-03-2026,B/Night,33,414
103,10-03-2026,22:23:14,Model32,10-03-2026,B/Night,31,601
104,10-02-2026,21:05:35,Model25,10-02-2026,B/Night,31,397
105,28-02-2026,06:09:27,Model35,28-02-2026,B/Night,33,695
106,07-02-2026,06:52:59,Model1,07-02-2026,B/Night,32,501
107,09-02-2026,02:02:08,Model52,09-02-2026,B/Night,31,403
108,29-03-2026,05:44:29,Model6,29-03-2026,B/Night,20,413
109,22-02-2026,06:50:08,Model22,22-02-2026,B/Night,31,580
110,13-02-2026,00:46:10,Model35,13-02-2026,B/Night,32,480
111,18-02-2026,06:55:32,Model39,18-02-2026,B/Night,30,515
112,10-04-2026,20:03:41,Model29,10-04-2026,B/Night,30,208
113,06-02-2026,07:15:29,Model39,06-02-2026,B/Night,31,305
114,15-02-2026,02:18:37,Model41,15-02-2026,B/Night,32,257
115,26-03-2026,02:58:50,Model2,26-03-2026,B/Night,20,498
116,01-03-2026,00:42:37,Model45,01-03-2026,B/Night,33,323
117,25-03-2026,01:38:23,Model34,25-03-2026,B/Night,32,237
118,04-04-2026,04:32:22,Model23,04-04-2026,B/Night,32,571
119,08-04-2026,03:06:51,Model14,08-04-2026,B/Night,20,531
120,14-03-2026,03:03:09,Model58,14-03-2026,B/Night,34,224
121,17-04-2026,03:37:31,Model10,17-04-2026,B/Night,40,256
122,01-02-2026,19:59:46,Model39,01-02-2026,B/Night,30,367
123,28-03-2026,15:05:17,Model47,28-03-2026,B/Day,30,505
124,13-04-2026,15:14:58,Model46,13-04-2026,B/Day,33,434
125,04-02-2026,17:06:50,Model28,04-02-2026,B/Day,20,384
126,18-03-2026,09:25:00,Model8,18-03-2026,B/Day,33,655
127,02-02-2026,13:20:40,Model8,02-02-2026,B/Day,30,667
128,10-03-2026,18:45:00,Model57,10-03-2026,B/Day,31,414
129,02-03-2026,17:35:35,Model36,02-03-2026,B/Day,32,397
130,24-02-2026,16:15:13,Model49,24-02-2026,B/Day,20,397
131,22-04-2026,16:54:10,Model10,22-04-2026,B/Day,20,491
132,22-02-2026,07:46:22,Model13,22-02-2026,B/Day,34,654
133,09-02-2026,19:10:25,Model52,09-02-2026,B/Day,40,428
134,11-02-2026,11:22:22,Model52,11-02-2026,B/Day,40,221
135,15-04-2026,08:00:33,Model14,15-04-2026,B/Day,40,400
136,05-04-2026,09:31:00,Model6,05-04-2026,B/Day,33,558
137,05-02-2026,10:16:43,Model42,05-02-2026,B/Day,30,699
138,21-03-2026,08:46:51,Model38,21-03-2026,B/Day,33,351
139,31-03-2026,12:28:58,Model16,31-03-2026,B/Day,30,518
140,10-02-2026,09:48:02,Model14,10-02-2026,B/Day,31,426
141,28-02-2026,15:01:50,Model58,28-02-2026,B/Day,40,668
142,21-04-2026,17:32:48,Model53,21-04-2026,B/Day,33,637
143,30-03-2026,12:12:30,Model56,30-03-2026,B/Day,31,460
144,07-02-2026,17:06:22,Model51,07-02-2026,B/Day,34,496
145,11-03-2026,07:57:47,Model45,11-03-2026,B/Day,30,503
146,22-03-2026,17:06:31,Model6,22-03-2026,B/Day,30,666
147,19-04-2026,12:56:34,Model56,19-04-2026,B/Day,20,483
148,05-03-2026,15:30:13,Model18,05-03-2026,B/Day,40,326
149,22-04-2026,12:34:51,Model47,22-04-2026,B/Day,31,631
150,18-04-2026,12:32:25,Model15,18-04-2026,B/Day,31,236
151,18-03-2026,08:58:43,Model10,18-03-2026,B/Day,20,451
152,06-03-2026,10:45:17,Model40,06-03-2026,B/Day,20,679
153,09-03-2026,15:13:55,Model18,09-03-2026,B/Day,34,424
154,24-02-2026,17:45:34,Model35,24-02-2026,B/Day,32,580
155,25-03-2026,10:18:32,Model17,25-03-2026,B/Day,30,539
156,21-02-2026,10:24:44,Model39,21-02-2026,B/Day,32,595
157,09-04-2026,08:17:25,Model45,09-04-2026,B/Day,30,414
158,25-02-2026,15:41:36,Model43,25-02-2026,B/Day,33,309
159,25-03-2026,10:57:15,Model46,25-03-2026,B/Day,34,385
160,24-02-2026,07:34:32,Model37,24-02-2026,B/Day,31,401
161,08-03-2026,16:04:28,Model37,08-03-2026,B/Day,34,367
162,23-02-2026,07:57:43,Model1,23-02-2026,B/Day,33,362
163,31-01-2026,17:01:50,Model20,31-01-2026,B/Day,20,465
164,04-04-2026,17:24:01,Model11,04-04-2026,B/Day,40,510
165,10-03-2026,18:11:21,Model7,10-03-2026,B/Day,30,392
166,21-02-2026,09:12:26,Model4,21-02-2026,B/Day,40,656
167,16-02-2026,11:23:42,Model25,16-02-2026,B/Day,31,244
168,12-02-2026,17:26:24,Model13,12-02-2026,B/Day,34,651
169,19-04-2026,08:45:48,Model10,19-04-2026,A/Day,30,629
170,07-03-2026,15:30:45,Model1,07-03-2026,A/Day,32,233
171,08-03-2026,18:41:48,Model24,08-03-2026,A/Day,34,303
172,09-03-2026,12:56:02,Model22,09-03-2026,A/Day,34,208
173,31-03-2026,14:59:26,Model24,31-03-2026,A/Day,33,515
174,18-03-2026,14:52:33,Model33,18-03-2026,A/Day,31,413
175,10-02-2026,15:27:03,Model12,10-02-2026,A/Day,20,486
176,01-03-2026,14:34:01,Model37,01-03-2026,A/Day,30,432
177,21-02-2026,13:27:16,Model26,21-02-2026,A/Day,34,448
178,16-04-2026,16:57:08,Model33,16-04-2026,A/Day,40,232
179,05-03-2026,09:05:23,Model8,05-03-2026,A/Day,33,682
180,05-04-2026,08:43:10,Model29,05-04-2026,A/Day,32,234
181,26-03-2026,11:28:27,Model55,26-03-2026,A/Day,40,597
182,05-03-2026,09:42:43,Model7,05-03-2026,A/Day,33,661
183,15-03-2026,19:16:41,Model50,15-03-2026,A/Day,32,628
184,14-02-2026,08:21:15,Model5,14-02-2026,A/Day,34,244
185,04-04-2026,10:29:29,Model43,04-04-2026,A/Day,30,509
186,19-04-2026,12:15:27,Model41,19-04-2026,A/Day,20,446
187,04-02-2026,14:41:29,Model44,04-02-2026,A/Day,34,218
188,01-04-2026,18:37:19,Model20,01-04-2026,A/Day,30,331
189,08-04-2026,23:38:11,Model49,08-04-2026,A/Night,32,540
190,09-04-2026,01:50:37,Model47,09-04-2026,A/Night,33,522
191,03-03-2026,06:09:51,Model27,03-03-2026,A/Night,40,686
192,12-02-2026,06:28:54,Model25,12-02-2026,A/Night,40,475
193,20-03-2026,22:29:54,Model33,20-03-2026,A/Night,33,651
194,05-02-2026,04:52:46,Model18,05-02-2026,A/Night,31,658
195,12-04-2026,04:58:58,Model10,12-04-2026,A/Night,31,245
196,23-03-2026,19:56:00,Model38,23-03-2026,A/Night,20,355
197,19-04-2026,21:20:11,Model54,19-04-2026,A/Night,40,437
198,07-04-2026,22:13:02,Model57,07-04-2026,A/Night,34,660
199,26-02-2026,20:07:18,Model35,26-02-2026,A/Night,31,537
200,18-04-2026,05:11:45,Model26,18-04-2026,A/Night,31,512
201,27-03-2026,00:30:43,Model9,27-03-2026,A/Night,34,584
202,14-03-2026,03:35:31,Model44,14-03-2026,A/Night,20,436
203,24-03-2026,04:02:37,Model59,24-03-2026,A/Night,32,296
204,19-02-2026,21:14:42,Model42,19-02-2026,A/Night,40,612
205,11-02-2026,23:24:37,Model28,11-02-2026,A/Night,34,656
206,09-02-2026,00:02:11,Model39,09-02-2026,A/Night,30,345
207,04-02-2026,06:32:21,Model49,04-02-2026,A/Night,40,539
208,26-02-2026,20:02:45,Model26,26-02-2026,A/Night,32,275
209,28-03-2026,19:37:12,Model18,28-03-2026,A/Night,31,312
210,05-02-2026,21:46:11,Model8,05-02-2026,A/Night,30,403
211,23-02-2026,20:15:46,Model8,23-02-2026,A/Night,32,444
212,12-04-2026,03:28:36,Model8,12-04-2026,A/Night,30,364
213,12-02-2026,07:11:54,Model45,12-02-2026,A/Night,34,394
214,16-03-2026,22:13:41,Model26,16-03-2026,A/Night,31,362
215,09-04-2026,23:05:47,Model31,09-04-2026,A/Night,34,545
216,18-04-2026,04:08:35,Model59,18-04-2026,A/Night,34,345
217,01-04-2026,01:52:55,Model29,01-04-2026,A/Night,33,501
218,09-03-2026,01:23:20,Model46,09-03-2026,A/Night,30,338
219,11-04-2026,06:28:01,Model13,11-04-2026,A/Night,33,551
220,31-01-2026,23:59:44,Model31,31-01-2026,A/Night,32,375
221,24-03-2026,05:47:46,Model33,24-03-2026,A/Night,20,222
222,20-04-2026,01:40:57,Model12,20-04-2026,A/Night,33,248
223,15-04-2026,07:27:32,Model27,15-04-2026,A/Night,32,451
224,20-03-2026,21:09:19,Model10,20-03-2026,A/Night,20,558
225,18-04-2026,23:28:01,Model45,18-04-2026,A/Night,33,559
226,27-02-2026,05:43:45,Model6,27-02-2026,A/Night,33,692
227,18-03-2026,00:19:03,Model26,18-03-2026,A/Night,40,476
228,03-03-2026,20:37:27,Model59,03-03-2026,A/Night,30,220
229,02-03-2026,03:40:54,Model24,02-03-2026,A/Night,32,500
230,05-04-2026,02:35:53,Model58,05-04-2026,A/Night,30,349
231,15-03-2026,16:29:28,Model42,15-03-2026,A/Day,30,542
232,12-02-2026,09:58:50,Model14,12-02-2026,A/Day,33,272
233,31-01-2026,08:54:31,Model5,31-01-2026,A/Day,31,357
234,01-03-2026,08:57:21,Model11,01-03-2026,A/Day,31,239
235,10-03-2026,13:54:34,Model28,10-03-2026,A/Day,33,626
236,20-03-2026,17:24:17,Model43,20-03-2026,A/Day,32,273
237,06-04-2026,16:03:34,Model22,06-04-2026,A/Day,32,686
238,18-04-2026,14:59:16,Model51,18-04-2026,A/Day,32,463
239,05-04-2026,15:41:46,Model59,05-04-2026,A/Day,30,585
240,12-02-2026,10:37:04,Model3,12-02-2026,A/Day,20,425
241,09-04-2026,08:19:05,Model18,09-04-2026,A/Day,33,369
242,05-03-2026,17:38:44,Model12,05-03-2026,A/Day,40,216
243,13-04-2026,14:07:09,Model35,13-04-2026,A/Day,40,516
244,06-03-2026,10:09:37,Model14,06-03-2026,A/Day,30,201
245,06-03-2026,10:05:34,Model46,06-03-2026,A/Day,30,379
246,14-02-2026,12:01:55,Model35,14-02-2026,A/Day,33,604
247,09-04-2026,11:52:45,Model45,09-04-2026,A/Day,40,493
248,12-04-2026,10:09:10,Model29,12-04-2026,A/Day,34,246
249,01-02-2026,12:16:16,Model10,01-02-2026,A/Day,31,460
250,30-01-2026,17:56:32,Model31,30-01-2026,A/Day,40,345
251,22-02-2026,10:40:46,Model49,22-02-2026,A/Day,34,578
252,13-03-2026,12:28:51,Model55,13-03-2026,A/Day,32,681
253,23-02-2026,11:34:58,Model48,23-02-2026,A/Day,31,641
254,14-02-2026,13:32:28,Model29,14-02-2026,A/Day,40,471
255,20-03-2026,18:31:42,Model58,20-03-2026,A/Day,33,547
256,16-02-2026,19:05:19,Model2,16-02-2026,A/Day,32,309
257,10-03-2026,14:46:43,Model16,10-03-2026,A/Day,40,540
258,14-04-2026,17:38:10,Model36,14-04-2026,A/Day,31,230
259,15-02-2026,16:32:44,Model6,15-02-2026,A/Day,31,585
260,11-03-2026,16:50:10,Model59,11-03-2026,A/Day,40,326
261,21-04-2026,07:55:32,Model55,21-04-2026,A/Day,20,432
262,30-03-2026,08:06:55,Model26,30-03-2026,A/Day,34,256
263,31-01-2026,12:02:16,Model25,31-01-2026,A/Day,33,543
264,09-04-2026,17:21:38,Model22,09-04-2026,A/Day,20,222
265,04-03-2026,16:44:33,Model50,04-03-2026,A/Day,34,478
266,13-04-2026,07:43:49,Model34,13-04-2026,A/Day,40,686
267,04-04-2026,11:07:16,Model20,04-04-2026,A/Day,40,500
268,29-03-2026,16:54:33,Model23,29-03-2026,A/Day,33,648
269,16-04-2026,09:09:18,Model15,16-04-2026,A/Day,40,361
270,09-02-2026,13:39:44,Model11,09-02-2026,A/Day,20,364
271,05-03-2026,17:53:07,Model26,05-03-2026,A/Day,20,497
272,04-03-2026,17:34:19,Model37,04-03-2026,A/Day,30,407
273,06-02-2026,15:58:22,Model39,06-02-2026,A/Day,34,254
274,13-02-2026,13:52:18,Model54,13-02-2026,A/Day,34,328
275,12-04-2026,19:12:11,Model27,12-04-2026,A/Day,40,527
276,31-03-2026,09:25:14,Model52,31-03-2026,A/Day,40,672
277,27-03-2026,11:21:37,Model5,27-03-2026,A/Day,33,429
278,23-04-2026,15:24:08,Model33,23-04-2026,A/Day,33,431
279,17-03-2026,18:02:53,Model15,17-03-2026,A/Day,32,604
280,31-01-2026,10:00:46,Model27,31-01-2026,A/Day,30,244
281,03-03-2026,07:44:28,Model45,03-03-2026,A/Day,33,435
282,19-04-2026,10:05:31,Model6,19-04-2026,A/Day,40,690
283,28-02-2026,14:53:14,Model46,28-02-2026,A/Day,34,372
284,31-01-2026,14:18:06,Model41,31-01-2026,A/Day,40,412
285,25-03-2026,14:11:57,Model2,25-03-2026,A/Day,31,205
286,27-03-2026,09:09:48,Model55,27-03-2026,A/Day,34,323
287,14-03-2026,17:13:55,Model38,14-03-2026,A/Day,20,488
288,02-04-2026,08:21:50,Model58,02-04-2026,B/Day,32,527
289,12-04-2026,16:35:35,Model13,12-04-2026,B/Day,31,600
290,26-03-2026,16:58:48,Model59,26-03-2026,B/Day,31,251
291,27-03-2026,13:43:06,Model45,27-03-2026,B/Day,34,449
292,16-02-2026,18:27:16,Model52,16-02-2026,B/Day,33,562
293,21-04-2026,10:27:08,Model22,21-04-2026,B/Day,20,600
294,18-04-2026,09:07:02,Model49,18-04-2026,B/Day,40,668
295,14-04-2026,12:07:54,Model3,14-04-2026,B/Day,33,479
296,31-01-2026,13:10:40,Model41,31-01-2026,B/Day,33,590
297,10-02-2026,13:42:33,Model22,10-02-2026,B/Day,34,311
298,27-02-2026,14:48:11,Model22,27-02-2026,B/Day,33,605
299,27-02-2026,14:33:30,Model36,27-02-2026,B/Day,20,562
300,21-04-2026,16:10:36,Model47,21-04-2026,B/Day,40,434
301,17-04-2026,12:27:27,Model50,17-04-2026,B/Day,40,621
302,29-03-2026,08:09:10,Model25,29-03-2026,B/Day,34,462
303,25-02-2026,18:39:22,Model47,25-02-2026,B/Day,30,459
303,04-03-2026,17:00:41,Model1,04-03-2026,B/Day,30,639
303,23-02-2026,15:59:08,Model14,23-02-2026,B/Day,20,668
303,27-02-2026,17:17:16,Model21,27-02-2026,B/Day,33,606
303,28-03-2026,15:34:18,Model28,28-03-2026,B/Day,31,648
303,14-04-2026,14:43:19,Model49,14-04-2026,B/Day,20,332
303,09-04-2026,10:34:55,Model24,09-04-2026,B/Day,20,223
303,18-02-2026,09:52:19,Model51,18-02-2026,B/Day,32,324
303,09-04-2026,10:15:03,Model43,09-04-2026,B/Day,34,493
303,05-03-2026,12:13:44,Model47,05-03-2026,B/Day,20,201
303,10-03-2026,07:59:58,Model54,10-03-2026,B/Day,33,361
303,05-02-2026,09:59:38,Model4,05-02-2026,B/Day,31,200
303,21-03-2026,15:44:07,Model43,21-03-2026,B/Day,32,482
303,03-03-2026,17:08:41,Model39,03-03-2026,B/Day,32,268
303,17-04-2026,11:40:11,Model13,17-04-2026,B/Day,33,456
303,18-03-2026,13:38:08,Model34,18-03-2026,B/Day,30,261
303,04-02-2026,15:23:19,Model3,04-02-2026,B/Day,30,645
303,13-02-2026,10:58:05,Model3,13-02-2026,B/Day,20,574
303,15-03-2026,14:02:15,Model12,15-03-2026,B/Day,34,652
303,01-04-2026,18:38:58,Model36,01-04-2026,B/Day,30,535
303,27-02-2026,11:29:12,Model58,27-02-2026,B/Day,34,602
303,09-02-2026,14:22:54,Model50,09-02-2026,B/Day,30,528
303,16-02-2026,16:52:24,Model44,16-02-2026,B/Day,31,672
303,09-04-2026,14:52:43,Model17,09-04-2026,B/Day,32,388
303,01-03-2026,08:44:04,Model2,01-03-2026,B/Day,31,465
303,06-04-2026,13:38:20,Model42,06-04-2026,B/Day,33,418
303,07-04-2026,08:49:03,Model3,07-04-2026,B/Day,20,552
303,07-03-2026,18:36:15,Model54,07-03-2026,B/Day,33,304
303,07-02-2026,16:08:45,Model12,07-02-2026,B/Day,33,264
303,10-03-2026,15:29:26,Model39,10-03-2026,B/Day,32,586
303,06-03-2026,11:40:58,Model5,06-03-2026,B/Day,32,532
303,11-02-2026,18:56:58,Model10,11-02-2026,B/Day,31,259
303,13-02-2026,15:31:38,Model6,13-02-2026,B/Day,40,381
303,07-02-2026,19:15:14,Model12,07-02-2026,B/Day,31,347
303,18-04-2026,09:36:56,Model32,18-04-2026,B/Day,20,327
303,16-04-2026,09:00:53,Model39,16-04-2026,B/Day,32,283
303,28-03-2026,17:55:49,Model43,28-03-2026,B/Day,33,617
303,15-03-2026,08:37:35,Model30,15-03-2026,B/Day,31,474
303,01-04-2026,16:27:12,Model22,01-04-2026,B/Day,32,488
303,29-03-2026,09:04:50,Model21,29-03-2026,B/Day,20,314
303,10-03-2026,16:40:52,Model24,10-03-2026,B/Day,33,618
303,26-02-2026,19:21:22,Model20,26-02-2026,B/Day,40,456
303,17-04-2026,18:11:16,Model35,17-04-2026,B/Day,31,342
303,09-04-2026,13:12:10,Model36,09-04-2026,B/Day,30,510
303,07-03-2026,11:40:19,Model18,07-03-2026,B/Day,20,383
303,14-04-2026,17:17:41,Model12,14-04-2026,B/Day,40,513
303,11-02-2026,15:43:15,Model42,11-02-2026,B/Day,31,548
303,31-03-2026,09:44:52,Model39,31-03-2026,B/Day,34,591
303,22-02-2026,14:12:14,Model49,22-02-2026,B/Day,32,526
303,22-04-2026,11:03:52,Model58,22-04-2026,B/Day,20,255
303,09-04-2026,18:24:00,Model1,09-04-2026,B/Day,40,681
303,01-02-2026,15:36:16,Model47,01-02-2026,B/Day,40,279
303,14-03-2026,10:22:45,Model17,14-03-2026,B/Day,40,442
303,24-03-2026,14:38:02,Model30,24-03-2026,B/Day,32,385
303,13-03-2026,13:44:06,Model25,13-03-2026,B/Day,30,540
303,16-02-2026,09:50:21,Model48,16-02-2026,B/Day,40,354
303,08-02-2026,18:56:08,Model34,08-02-2026,B/Day,40,416
303,31-03-2026,13:02:49,Model34,31-03-2026,B/Day,31,620
303,09-04-2026,13:17:12,Model43,09-04-2026,B/Day,40,581
303,20-02-2026,09:35:09,Model35,20-02-2026,B/Day,33,655
303,02-02-2026,19:06:23,Model24,02-02-2026,B/Day,31,218
303,20-04-2026,19:11:47,Model35,20-04-2026,B/Day,32,655
303,19-03-2026,15:52:34,Model57,19-03-2026,B/Day,20,249
303,30-01-2026,07:48:12,Model59,30-01-2026,B/Day,31,362
303,11-02-2026,07:52:45,Model6,11-02-2026,B/Day,20,299
303,12-03-2026,08:02:59,Model45,12-03-2026,B/Day,34,563
303,18-04-2026,07:30:27,Model9,18-04-2026,B/Day,33,559
303,13-04-2026,10:51:01,Model51,13-04-2026,B/Day,34,395
303,17-02-2026,10:32:44,Model51,17-02-2026,B/Day,20,454
303,03-04-2026,12:39:10,Model50,03-04-2026,B/Day,20,675
303,11-03-2026,07:36:34,Model41,11-03-2026,B/Day,30,323
303,21-04-2026,09:49:49,Model46,21-04-2026,B/Day,34,340
303,07-03-2026,10:11:28,Model15,07-03-2026,B/Day,34,310
303,13-04-2026,11:22:44,Model59,13-04-2026,B/Day,34,557
303,22-02-2026,13:30:08,Model56,22-02-2026,B/Day,32,550
303,17-02-2026,18:06:29,Model19,17-02-2026,B/Day,40,439
303,02-03-2026,08:42:11,Model58,02-03-2026,B/Day,33,466
303,26-03-2026,11:11:46,Model51,26-03-2026,B/Day,30,586
303,28-03-2026,15:11:42,Model54,28-03-2026,B/Day,34,605
303,21-03-2026,09:09:18,Model18,21-03-2026,B/Day,40,419
303,14-03-2026,13:04:09,Model54,14-03-2026,B/Day,31,260
303,15-04-2026,18:30:44,Model59,15-04-2026,B/Day,30,493
303,31-01-2026,09:46:31,Model5,31-01-2026,B/Day,31,267
303,19-02-2026,15:51:46,Model29,19-02-2026,B/Day,30,470
303,10-03-2026,09:07:10,Model43,10-03-2026,B/Day,32,253
303,21-02-2026,17:31:00,Model14,21-02-2026,B/Day,34,655
303,24-02-2026,14:03:38,Model26,24-02-2026,B/Day,40,689
303,19-04-2026,09:43:40,Model27,19-04-2026,B/Day,31,688
303,14-02-2026,17:06:18,Model1,14-02-2026,B/Day,31,228
303,18-04-2026,19:15:21,Model27,18-04-2026,B/Day,32,391
303,11-04-2026,12:33:12,Model8,11-04-2026,B/Day,30,689
303,21-04-2026,09:25:01,Model10,21-04-2026,B/Day,34,377
303,11-04-2026,18:25:19,Model14,11-04-2026,B/Day,32,476
303,27-03-2026,14:26:03,Model21,27-03-2026,B/Day,40,218
303,07-02-2026,09:59:41,Model32,07-02-2026,B/Day,30,210
303,19-03-2026,07:35:53,Model43,19-03-2026,B/Day,32,623
